size,loc
2.68359375,18
1.8486328125,13
0.853515625,10
0.2587890625,7
4.205078125,31
5.2763671875,24
1.873046875,16
2.892578125,20
1.2099609375,11
2.4482421875,17
1.38671875,13
4.83203125,35
1.0390625,11
0.6328125,10
1.123046875,11
2.5634765625,21
0.861328125,9
1.9453125,17
3.490234375,25
1.1689453125,10
3.900390625,27
0.7587890625,14
1.185546875,10
1.8193359375,17
0.30078125,7
3.837890625,29
2.6845703125,17
2.16015625,18
1.603515625,14
2.3037109375,22
1.046875,12
0.8701171875,9
1.7744140625,11
3.10546875,25
2.0732421875,20
3.673828125,28
1.9990234375,17
2.1044921875,19
3.0498046875,19
5.3037109375,36
5.345703125,31
5.5205078125,33
3.775390625,25
1.5439453125,14
0.822265625,11
1.244140625,12
2.931640625,21
0.32421875,9
0.6142578125,7
4.171875,28
0.8271484375,10
0.6416015625,11
2.4423828125,15
1.1533203125,13
3.677734375,27
1.7158203125,18
1.8798828125,13
3.2060546875,23
0.755859375,10
2.611328125,19
3.8466796875,27
3.6083984375,24
1.2578125,14
0.705078125,11
5.9853515625,38
1.044921875,11
2.2294921875,16
0.5576171875,10
3.57421875,26
2.951171875,18
1.205078125,12
1.287109375,10
1.0380859375,9
1.02734375,10
4.2998046875,27
2.3408203125,17
1.2451171875,9
1.8896484375,14
1.7265625,17
1.3779296875,16
1.283203125,14
0.6240234375,8
1.5546875,13
1.1513671875,11
0.9755859375,11
0.373046875,7
0.8017578125,12
2.7275390625,20
4.43359375,29
6.08984375,37
1.728515625,18
0.6220703125,9
4.6669921875,26
4.158203125,31
1.998046875,18
0.849609375,12
3.0537109375,21
1.4072265625,11
1.8232421875,16
2.6572265625,15
1.3125,14
4.2978515625,35
3.6103515625,23
0.2294921875,8
2.7353515625,15
0.900390625,9
1.1982421875,14
1.107421875,11
0.248046875,8
1.3408203125,11
1.1962890625,13
1.373046875,14
3.0908203125,24
1.94921875,16
1.4150390625,12
3.212890625,23
1.3173828125,10
2.8486328125,24
0.291015625,7
2.298828125,17
2.69921875,24
2.5048828125,19
2.9833984375,17
1.64453125,13
1.8369140625,16
1.7158203125,14
0.4892578125,8
2.90625,22
1.5771484375,16
0.91015625,8
2.1142578125,12
3.8349609375,27
2.275390625,22
5.923828125,39
3.5400390625,29
0.85546875,11
1.9052734375,13
2.8984375,19
3.8173828125,22
3.0439453125,19
1.2744140625,13
4.6591796875,30
1.435546875,14
1.8642578125,13
1.19140625,10
1.185546875,11
1.12890625,15
1.7822265625,15
0.9208984375,11
0.3408203125,8
0.607421875,9
1.693359375,11
1.5078125,14
4.251953125,34
2.474609375,20
0.79296875,11
1.646484375,15
2.0625,17
1.92578125,16
1.7392578125,17
0.70703125,9
8.5322265625,59
3.1572265625,19
2.4404296875,21
1.1630859375,11
0.2568359375,7
1.21484375,11
1.822265625,14
2.97265625,21
2.2705078125,19
0.3583984375,7
4.6494140625,29
2.2470703125,18
2.546875,19
2.158203125,18
1.12890625,12
4.3046875,32
1.2880859375,11
3.8447265625,27
0.5947265625,9
0.6943359375,9
0.4921875,10
0.646484375,10
0.4970703125,10
2.765625,17
0.431640625,8
1.8623046875,13
0.453125,7
1.162109375,13
1.416015625,12
2.982421875,23
1.7900390625,13
2.5654296875,19
3.115234375,21
2.251953125,19
3.0458984375,18
3.5908203125,24
1.34765625,13
0.6044921875,10
0.9150390625,8
2.09765625,23
4.1123046875,20
1.3076171875,14
1.4267578125,13
1.033203125,10
1.4462890625,14
1.9833984375,15
2.6806640625,22
1.5595703125,13
1.26171875,14
1.224609375,12
0.21875,7
2.3857421875,19
0.9912109375,11
1.4609375,13
2.2822265625,21
3.380859375,26
2.7275390625,20
4.0546875,26
2.1259765625,23
1.2275390625,11
2.17578125,16
