GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor.constructors.new Function0() {...},4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyPackageDescriptor,21,29,7,5,3,5,8,2,2,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor.initialize.new Function0() {...},3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor.initialize.new Function0() {...},4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor.initialize.new Function0() {...},3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor.initialize.new Function0() {...},4,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyAnnotationDescriptor.FileDescriptorForVisibilityChecks,56,0,0,0,11,0,9,0,9,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,AbstractLazyMemberScope.typeAliasDescriptors.new Function1() {...},0,8,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,AbstractLazyMemberScope.typeAliasDescriptors.new Function2() {...},6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.getContributedDescriptors.new Function0() {...},6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.getContributedDescriptors.new Function0() {...},6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope._functionNames.new Function0() {...},51,0,0,0,7,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.generateFakeOverrides.new OverridingStrategy() {...},102,31,3,1,12,4,4,2,2,2
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.generateDelegatingDescriptors.lazyMemberExtractor.new DelegationResolver.MemberExtractor() {...},10,9,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.allClassifierDescriptors.new Function0() {...},6,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyTypeAliasDescriptor,334,0,22,0,39,0,25,0,14,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope._classifierNames.new Function0() {...},84,0,6,0,10,0,4,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyAnnotationDescriptor.valueArgumentsWithSourceInfo.new Function0() {...},97,0,8,0,8,0,5,0,1,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassMemberScope.allDescriptors.new Function0() {...},0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,ClassResolutionScopesSupport.scopeForMemberDeclarationResolution.new Function0() {...},0,37,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyAnnotations,66,0,2,0,8,0,9,0,8,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,ClassResolutionScopesSupportKt.scopeForInitializerResolution.new Function1() {...},67,11,12,2,5,2,7,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyAnnotationsContextImpl,24,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,AbstractLazyMemberScope.declaredPropertyDescriptors.new Function1() {...},0,8,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassDescriptor.new LazyAnnotationsContext() {...},17,0,2,0,2,0,3,0,2,0
JaCoCo Coverage Report,org.jetbrains.kotlin.resolve.lazy.descriptors,LazyClassDescriptor.new LazyAnnotationsContext() {...},17,0,2,0,2,0,3,0,2,0
